Date,Open,High,Low,Close,Adj Close,Volume
2016-01-18,173.600006,174.699997,172.100006,172.500000,152.251251,6533742
2016-01-19,172.000000,177.199997,168.000000,177.100006,156.311295,14590869
2016-01-20,173.800003,173.800003,168.000000,168.100006,148.367752,12947109
2016-01-21,169.100006,171.500000,161.199997,162.500000,143.425079,11923410
2016-01-22,166.199997,167.600006,160.100006,166.100006,146.602524,10626060
2016-01-25,168.800003,170.199997,167.300003,168.899994,149.073853,7651408
2016-01-26,166.500000,166.800003,161.699997,163.100006,143.954681,9449945
2016-01-27,165.699997,166.100006,161.300003,161.800003,142.807251,5831717
2016-01-28,163.000000,163.800003,160.100006,162.199997,143.160324,6831965
2016-01-29,161.600006,170.899994,161.500000,170.300003,150.309509,10008762
2016-02-01,170.000000,170.000000,166.600006,168.100006,148.367752,5423284
2016-02-02,167.399994,170.199997,166.699997,168.500000,148.720795,3036735
2016-02-03,166.000000,166.800003,163.300003,166.199997,146.690781,4686809
2016-02-04,167.199997,168.500000,164.500000,165.500000,146.072968,4848900
2016-02-05,167.000000,168.000000,165.600006,167.000000,147.396881,3218729
2016-02-11,162.000000,164.699997,161.899994,163.199997,144.042938,5928638
2016-02-12,162.000000,164.300003,161.199997,163.000000,143.866409,4103231
2016-02-15,166.100006,168.800003,165.500000,167.500000,147.838196,5381943
2016-02-16,168.000000,170.800003,167.899994,169.000000,149.162079,5838122
2016-02-17,169.399994,170.500000,166.699997,169.100006,149.250381,4798729
2016-02-18,171.699997,172.500000,170.399994,171.000000,150.927322,5416817
2016-02-19,170.500000,171.800003,170.000000,171.199997,151.103851,2315228
2016-02-22,172.300003,174.399994,171.300003,173.699997,153.310379,3514891
2016-02-23,173.699997,174.899994,172.600006,173.300003,152.957367,2705318
2016-02-24,173.000000,174.000000,170.300003,172.300003,152.074738,3471269
2016-02-25,172.500000,172.800003,167.699997,168.300003,148.544266,4431337
2016-02-26,170.800003,174.300003,170.000000,173.300003,152.957367,5014659
2016-02-29,173.000000,173.199997,167.300003,168.899994,149.073853,5752339
2016-03-01,169.800003,169.899994,167.000000,169.100006,149.250381,4150917
2016-03-02,171.500000,176.699997,171.300003,175.000000,154.457779,10838966
2016-03-03,175.000000,175.399994,171.199997,173.300003,152.957367,6411405
2016-03-04,173.500000,175.000000,171.800003,175.000000,154.457779,5356911
2016-03-07,175.000000,176.699997,172.899994,173.100006,152.780838,6629171
2016-03-08,174.000000,174.100006,171.600006,172.199997,151.986481,3827549
2016-03-09,171.800003,172.500000,170.100006,171.699997,151.545166,3910483
2016-03-10,172.199997,172.899994,170.199997,171.000000,150.927322,2897844
2016-03-11,170.399994,174.100006,169.500000,172.800003,152.516068,3890339
2016-03-14,174.000000,176.500000,173.199997,175.500000,154.899094,6492492
2016-03-15,174.800003,175.300003,173.199997,174.300003,153.839966,2128265
2016-03-16,174.300003,175.100006,172.100006,173.800003,153.398697,2661607
2016-03-17,175.899994,176.000000,173.899994,175.199997,154.634323,4882962
2016-03-18,175.899994,176.600006,174.300003,175.600006,154.987381,6546182
2016-03-21,177.000000,185.699997,176.699997,185.399994,163.637009,18817496
2016-03-22,186.699997,187.600006,183.899994,186.199997,164.343094,8219909
2016-03-23,186.100006,187.300003,183.100006,184.399994,162.754379,5485400
2016-03-24,182.100006,184.899994,181.100006,182.199997,160.812622,4572049
2016-03-29,182.199997,183.899994,180.699997,181.899994,160.547836,2657013
2016-03-30,184.600006,186.600006,183.699997,186.300003,164.431351,5445434
2016-03-31,186.600006,187.500000,185.699997,186.800003,164.872650,4912648
2016-04-01,186.199997,186.600006,183.399994,184.199997,162.577866,5309787
2016-04-05,182.800003,183.899994,181.100006,181.899994,160.547836,6545019
2016-04-06,181.600006,183.699997,181.100006,182.600006,161.165680,3247861
2016-04-07,183.100006,185.500000,182.399994,185.199997,163.460480,4052419
2016-04-08,183.399994,186.000000,182.600006,185.600006,163.813538,4291684
2016-04-11,184.600006,188.399994,184.100006,187.199997,165.225739,4568234
2016-04-12,187.300003,188.899994,186.100006,188.000000,165.931824,3480987
2016-04-13,189.000000,193.800003,189.000000,193.699997,170.962708,9753008
2016-04-14,195.000000,196.000000,193.000000,193.899994,171.139221,6732035
2016-04-15,193.000000,194.199997,192.000000,192.800003,170.168350,2743247
2016-04-18,191.000000,192.800003,190.000000,192.699997,170.080124,3319879
2016-04-19,195.000000,197.000000,194.199997,196.000000,172.992737,4557151
2016-04-20,196.000000,197.199997,193.000000,196.000000,172.992737,6014544
2016-04-21,197.500000,202.000000,196.000000,201.000000,177.405807,10833222
2016-04-22,199.100006,205.399994,198.199997,204.000000,180.053665,8632848
2016-04-25,202.199997,205.399994,199.699997,199.699997,176.258408,8164012
2016-04-26,200.800003,202.000000,196.699997,200.399994,176.876236,6912410
2016-04-27,200.399994,200.600006,198.199997,199.199997,175.817108,3005514
2016-04-28,202.000000,202.199997,197.100006,198.199997,174.934479,4867846
2016-04-29,198.000000,198.600006,195.800003,196.300003,173.257538,5074067
2016-05-03,194.199997,194.399994,187.399994,187.500000,167.945953,9219772
2016-05-04,187.000000,188.000000,184.000000,187.500000,167.945953,5893278
2016-05-05,186.500000,191.199997,186.000000,188.399994,168.752090,5732230
2016-05-06,187.800003,188.399994,183.899994,184.899994,165.617096,6685404
2016-05-09,186.500000,187.100006,183.899994,184.699997,165.437973,2961436
2016-05-10,183.399994,186.899994,183.399994,185.800003,166.423233,3630144
2016-05-11,187.000000,187.500000,184.199997,185.800003,166.423233,4973611
2016-05-12,185.000000,185.000000,181.300003,181.600006,162.661255,7177371
2016-05-13,181.000000,181.500000,178.000000,179.500000,160.780258,7012784
2016-05-16,179.000000,184.600006,178.500000,179.699997,160.959396,6520138
2016-05-17,179.800003,183.399994,179.800003,182.899994,163.825668,4841603
2016-05-18,180.699997,181.699997,178.500000,179.899994,161.138519,5099697
2016-05-19,178.600006,179.899994,176.800003,177.699997,159.167984,5687039
2016-05-20,177.000000,180.000000,177.000000,178.100006,159.526260,3881213
2016-05-23,176.899994,179.100006,176.899994,177.399994,158.899261,2650160
2016-05-24,176.699997,177.399994,175.199997,176.399994,158.003540,3422700
2016-05-25,178.800003,180.100006,178.500000,178.699997,160.063705,4306573
2016-05-26,179.500000,179.899994,177.300003,178.399994,159.794968,2505985
2016-05-27,178.399994,182.399994,177.899994,182.300003,163.288254,6053509
2016-05-30,181.600006,184.500000,181.199997,183.100006,164.004822,5483558
2016-05-31,183.100006,188.800003,182.800003,186.000000,166.602386,9403895
2016-06-01,186.000000,188.600006,185.500000,185.699997,166.333664,4208196
2016-06-02,186.300003,188.399994,185.899994,188.199997,168.572952,4345800
2016-06-03,189.500000,191.399994,189.100006,190.000000,170.185226,6121838
2016-06-06,190.100006,192.500000,189.600006,191.699997,171.707932,5044657
2016-06-07,193.000000,194.399994,192.300003,193.899994,173.678497,6593590
2016-06-08,194.199997,194.199997,190.300003,191.500000,171.528809,4127110
2016-06-10,191.500000,192.000000,186.500000,186.899994,167.408524,6797156
2016-06-13,185.000000,185.500000,181.899994,183.399994,164.273529,5720205
2016-06-14,184.000000,184.699997,182.500000,183.300003,164.183960,4355974
2016-06-15,180.000000,182.000000,177.000000,181.500000,162.571671,9302481
2016-06-16,180.000000,180.300003,178.000000,178.899994,160.242813,6488891
2016-06-17,181.000000,181.699997,179.000000,179.199997,160.511536,3901037
2016-06-20,181.600006,183.399994,180.500000,182.100006,163.109085,4145438
2016-06-21,182.500000,185.699997,182.199997,182.800003,163.736115,3724690
2016-06-22,183.500000,187.199997,182.199997,186.300003,166.871094,6828343
2016-06-23,187.000000,187.300003,185.500000,186.000000,166.602386,3674248
2016-06-24,182.000000,187.000000,175.000000,182.699997,163.646545,15874439
2016-06-27,179.800003,185.399994,179.500000,184.399994,165.169235,7581458
2016-06-28,183.000000,184.399994,182.199997,184.300003,165.079697,5146638
2016-06-29,184.500000,187.800003,184.300003,186.399994,166.960663,6758311
2016-06-30,187.500000,188.800003,186.699997,187.600006,168.035522,7857923
2016-07-04,187.600006,188.500000,184.500000,187.600006,168.035522,5694154
2016-07-05,186.699997,187.500000,184.699997,184.899994,165.617096,3466012
2016-07-06,183.600006,183.899994,181.300003,183.500000,164.363113,4757792
2016-07-07,184.500000,185.600006,183.500000,184.300003,165.079697,2555633
2016-07-08,183.300003,184.000000,182.800003,183.600006,164.452698,2690049
2016-07-11,185.600006,186.100006,184.699997,185.100006,165.796249,2721048
2016-07-12,186.199997,187.500000,185.199997,186.800003,167.318954,4133023
2016-07-13,187.500000,189.000000,187.100006,188.199997,168.572952,5033633
2016-07-14,188.399994,190.699997,187.399994,190.100006,170.274841,4912879
2016-07-15,190.300003,190.899994,188.800003,189.800003,170.006088,4170176
2016-07-18,189.800003,191.300003,189.600006,190.500000,170.633102,2645651
2016-07-19,190.300003,190.300003,188.500000,189.500000,169.737381,2085169
2016-07-20,189.500000,192.199997,189.199997,191.899994,171.887070,4174243
2016-07-21,192.500000,194.000000,191.399994,191.500000,171.528809,4531336
2016-07-22,191.000000,193.000000,190.500000,192.399994,172.334930,2833545
2016-07-25,193.000000,193.000000,191.000000,191.899994,171.887070,2811426
2016-07-26,191.199997,194.399994,191.100006,193.699997,173.499359,3839204
2016-07-27,194.399994,194.399994,191.500000,193.699997,173.499359,3498996
2016-07-28,192.199997,193.399994,191.300003,192.100006,172.066254,3316524
2016-07-29,191.500000,193.000000,190.600006,191.500000,171.528809,3038497
2016-08-01,192.600006,194.000000,192.000000,192.300003,172.245377,4122911
2016-08-02,192.300003,192.300003,192.300003,192.300003,172.245377,0
2016-08-03,189.000000,191.100006,188.800003,190.199997,170.364380,3842784
2016-08-04,191.000000,192.100006,190.500000,191.500000,171.528809,1700786
2016-08-05,192.100006,193.300003,192.100006,192.600006,172.514084,2049963
2016-08-08,193.600006,195.100006,192.600006,194.899994,174.574219,4525810
2016-08-09,195.199997,195.500000,193.600006,194.000000,173.768082,2323059
2016-08-10,193.500000,195.500000,191.300003,192.100006,172.066254,5178925
2016-08-11,191.100006,199.500000,190.600006,197.699997,177.082230,12867905
2016-08-12,198.699997,199.000000,195.300003,197.100006,176.544769,7780985
2016-08-15,197.899994,201.800003,197.100006,200.199997,179.321487,8157630
2016-08-16,201.000000,203.000000,200.000000,200.600006,179.679779,6645908
2016-08-17,198.000000,198.500000,191.100006,191.199997,171.260071,19066389
2016-08-18,192.500000,193.600006,190.699997,191.600006,171.618378,10239412
2016-08-19,192.500000,192.500000,188.800003,191.199997,171.260071,8137897
2016-08-22,191.699997,192.800003,190.699997,191.699997,171.707932,3880216
2016-08-23,189.899994,190.600006,189.300003,189.699997,171.898239,3015594
2016-08-24,190.500000,190.800003,188.100006,189.100006,171.354553,3077409
2016-08-25,189.000000,189.600006,188.000000,189.100006,171.354553,2348469
2016-08-26,188.899994,189.600006,188.199997,188.600006,170.901459,2399065
2016-08-29,188.399994,189.000000,187.500000,188.000000,170.357773,2839703
2016-08-30,188.199997,191.399994,187.899994,190.100006,172.260727,4443425
2016-08-31,190.000000,190.399994,188.899994,189.699997,171.898239,3258414
2016-09-01,188.800003,191.000000,188.800003,190.199997,172.351318,3423985
2016-09-02,190.699997,191.500000,189.800003,190.800003,172.895004,2848814
2016-09-05,193.000000,196.000000,192.800003,194.399994,176.157196,7586152
2016-09-06,196.000000,198.699997,195.800003,198.100006,179.509979,9855914
2016-09-07,198.199997,200.000000,197.300003,198.000000,179.419357,6790728
2016-09-08,198.000000,199.500000,197.600006,198.600006,179.963058,4707598
2016-09-09,200.000000,213.199997,199.899994,209.600006,189.930786,35543508
2016-09-12,204.199997,206.399994,201.000000,201.000000,182.137833,16027439
2016-09-13,204.000000,205.199997,198.000000,198.000000,179.419357,10217701
2016-09-14,198.000000,201.000000,197.600006,199.300003,180.597382,4557080
2016-09-15,200.000000,203.600006,199.800003,203.600006,184.493835,5568643
2016-09-19,204.800003,204.800003,201.600006,204.199997,185.037521,5224202
2016-09-20,204.000000,209.199997,202.000000,207.199997,187.755997,7238685
2016-09-21,207.800003,209.000000,206.199997,208.000000,188.480942,5419877
2016-09-22,210.000000,211.800003,206.800003,206.800003,187.393539,8339827
