Date,Open,High,Low,Close,Adj Close,Volume
2016-01-18,1.429780,1.441490,1.427500,1.429300,1.429300,0
2016-01-19,1.432100,1.444140,1.418460,1.432000,1.432000,0
2016-01-20,1.422300,1.423240,1.412200,1.422300,1.422300,0
2016-01-21,1.428110,1.433950,1.414200,1.427500,1.427500,0
2016-01-22,1.433600,1.456480,1.431200,1.433400,1.433400,0
2016-01-25,1.448550,1.451540,1.442260,1.448490,1.448490,0
2016-01-26,1.441750,1.459100,1.435700,1.441700,1.441700,0
2016-01-27,1.458350,1.460110,1.447200,1.458700,1.458700,0
2016-01-28,1.444840,1.459950,1.444500,1.444800,1.444800,0
2016-01-29,1.455820,1.465500,1.451490,1.455920,1.455920,0
2016-02-01,1.458900,1.462330,1.455000,1.459150,1.459150,0
2016-02-02,1.470590,1.475410,1.460980,1.470850,1.470850,0
2016-02-03,1.467610,1.476410,1.463500,1.467660,1.467660,0
2016-02-04,1.466200,1.470500,1.451700,1.466100,1.466100,0
2016-02-05,1.447900,1.448690,1.438490,1.448180,1.448180,0
2016-02-08,1.440000,1.444700,1.422550,1.440390,1.440390,0
2016-02-09,1.424700,1.425090,1.399000,1.424860,1.424860,0
2016-02-10,1.407240,1.420150,1.404200,1.407100,1.407100,0
2016-02-11,1.413000,1.415780,1.392770,1.413620,1.413620,0
2016-02-12,1.407770,1.421090,1.406100,1.407400,1.407400,0
2016-02-15,1.419900,1.429730,1.417700,1.419600,1.419600,0
2016-02-16,1.424880,1.431440,1.409620,1.424100,1.424100,0
2016-02-17,1.413300,1.421510,1.404000,1.413100,1.413100,0
2016-02-18,1.417560,1.430860,1.412940,1.417270,1.417270,0
2016-02-19,1.423100,1.426080,1.412200,1.423070,1.423070,0
2016-02-22,1.412780,1.417030,1.403800,1.412500,1.412500,0
2016-02-23,1.414890,1.414890,1.395600,1.413800,1.413800,0
2016-02-24,1.388520,1.392210,1.375300,1.388800,1.388800,0
2016-02-25,1.377850,1.388100,1.375500,1.377400,1.377400,0
2016-02-26,1.382800,1.391850,1.378800,1.382560,1.382560,0
2016-02-29,1.381400,1.391760,1.379900,1.381590,1.381590,0
2016-03-01,1.389660,1.401280,1.388000,1.389590,1.389590,0
2016-03-02,1.391110,1.407130,1.388700,1.391300,1.391300,0
2016-03-03,1.402980,1.406800,1.398300,1.402600,1.402600,0
2016-03-04,1.406100,1.411750,1.400730,1.406100,1.406100,0
2016-03-07,1.412820,1.417600,1.410400,1.412740,1.412740,0
2016-03-08,1.419700,1.419820,1.406300,1.419000,1.419000,0
2016-03-09,1.415310,1.427630,1.414200,1.415000,1.415000,0
2016-03-10,1.417600,1.427140,1.408100,1.417700,1.417700,0
2016-03-11,1.406260,1.415800,1.403000,1.406200,1.406200,0
2016-03-14,1.413000,1.419880,1.411870,1.412600,1.412600,0
2016-03-15,1.409100,1.410020,1.395830,1.409200,1.409200,0
2016-03-16,1.397200,1.397560,1.390900,1.397360,1.397360,0
2016-03-17,1.393400,1.402450,1.388400,1.393760,1.393760,0
2016-03-18,1.399600,1.403940,1.396300,1.399850,1.399850,0
2016-03-21,1.402380,1.402430,1.391900,1.401980,1.401980,0
2016-03-22,1.394490,1.396060,1.377800,1.394300,1.394300,0
2016-03-23,1.383200,1.384680,1.372830,1.383500,1.383500,0
2016-03-24,1.376600,1.381530,1.372000,1.376400,1.376400,0
2016-03-25,1.379240,1.382390,1.378060,1.378670,1.378670,0
2016-03-28,1.382300,1.390390,1.380190,1.382000,1.382000,0
